GRB,z,mu,s_mu
50318,1.44,44.48,1.28
100814,1.44,45.09,1.11
110213,1.46,44.34,1.63
10222,1.48,44.28,0.88
120724,1.48,44.62,1.48
60418,1.489,45.73,1.41
30328,1.52,43.56,1.13
700125,1.547,44.79,1.11
90102,1.547,46.64,1.08
40912,1.563,43.44,3.43
990123,1.6,44.91,1.48
71003,1.604,47.34,1.05
90418,1.608,47.69,1.4
110503,1.613,45.58,0.94
990510,1.619,45.07,0.97
8605,1.6398,45.61,0.93
131105A,1.686,44.94,1.09
91020,1.71,47.75,3.13
100906,1.727,44.6,2.91
120119,1.728,44.46,1.04
110422,1.77,43.74,0.86
120326,1.798,44.81,0.92
080514B,1.8,46.17,1
090902B,1.822,45.56,0.85
20127,1.9,46.55,1.74
080319C,1.95,47.26,1.59
81008,1.9685,45.36,1.23
30226,1.98,45.23,1.32
130612,2.006,47.43,1.14
926,2.07,44.65,0.93
13610,2.092,47.98,1.07
90926,2.1062,44.95,0.88
11211,2.14,45.48,1.03
71020,2.145,48.13,1.21
050922C,2.198,47.11,1.5
121128,2.2,45.42,0.89
110205,2.22,46.1,2.11
130505,2.27,47.74,0.88
60124,2.296,46.21,1.82
21004,2.3,46.89,2.13
051109A,2.346,47.57,1.85
60908,2.43,47.12,1.23
80413,2.433,47.65,1.63
90812,2.452,48.17,1.77
100728B,2.453,47.44,1.04
130518,2.49,45.96,0.86
81121,2.512,47.23,1.08
81118,2.58,45.84,0.98
80721,2.591,46.92,1.04
50820,2.612,46.63,1.26
30429,2.65,46.31,1.25
120811C,2.671,44.91,1.04
080603B,2.69,46.74,1.45
140206A,2.73,46.03,0.88
91029,2.752,46.15,1.53
81222,2.77,46.29,0.91
50603,2.821,47.36,0.92
110731,2.83,47.46,0.87
111107,2.893,48.39,1.57
50401,2.9,46.03,1.36
090715B,3,46.93,1.66
80607,3.036,46.85,1.04
81028,3.038,45.67,1.95
20124,3.1,44.19,0.86
6526,3.2,46.53,1.69
80810,3.21,46.25,1.34
110818,3.35,48.4,1.02
30323,3.36,48.47,1.28
971214,3.37,48.1,2.07
60707,3.42,47.75,1.22
60115,3.425,47.47,0.98
90323,3.53,47.45,1.02
100704,3.57,46.65,1.17
130514,3.6,48.35,1.13
130408,3.6,46.34,1.6
120802,3.758,48.42,1.06
100413,3.796,46.85,1.73
120909,3.9,48.61,1.31
131117A,3.93,48.33,0.92
6206,4.042,48.83,1.15
90516,4.048,48.82,1.02
080916C,4.109,47.7,1.98
131,4.35,47.88,1.29
111008,4.5,46.86,2.05
60927,5,48.38,1.46
100728B,5.6,48.76,0.97
130606,5.91,50.94,1.37
50904,6.29,50.33,1.75
80913,6.695,50.57,2.36
90423,8.2,50.05,2.01
