Galaxy,Type,m-M,Mv,M_*,MH,Distance_host,rh
Andromeda {\sc I},dSph,24.36$\pm$0.07,0.15,-11.7,3.9,0.0,58,672
Andromeda {\sc II},dSph,24.07$\pm$0.06,0.17,-12.4,7.6,0.0,184,1176
Andromeda {\sc III},dSph,24.37$\pm$0.07,0.15,-10.0,0.83,0.0,75,479
Andromeda {\sc V},dSph,24.44$\pm$0.08,0.34,-9.1,0.39,0.0,110,315
Andromeda {\sc VI},dSph,24.47$\pm$0.07,0.17,-11.3,2.8,0.0,269,524
Andromeda {\sc VII},dSph,24.41$\pm$0.10,0.53,-12.6,9.5,0.0,218,776
Andromeda {\sc XI},dSph,24.40$_{-0.5}^{+0.2}$,0.21,-6.9,0.049,0.0,104,157
Andromeda {\sc XII},dSph,24.47$\pm$0.30,0.30,-6.4,0.031,0.0,133,304
Andromeda {\sc XIII},dSph,24.80$_{-0.4}^{+0.1}$,0.23,-6.7,0.041,0.0,180,207
Carina,dSph,20.11$\pm$0.13,0.17,-9.1,0.38,0.0,107,250
Cetus,dSph,24.38$\pm$0.07,0.08,-11.2,2.6,0.0,756,703
Canes~Venatici {\sc I},dSph,21.69$\pm$0.10,0.04,-8.6,0.23,0.0,218,564
Canes~Venatici {\sc II},dSph,21.02$\pm$ 0.06,0.03,-4.9,0.0079,0.0,161,74
DDO~210,dTrans,25.15$\pm$0.08,0.14,-10.6,1.6,4.1,1066,458
Draco,dSph,19.40$\pm$0.17,0.07,-8.8,0.29,0.0,76,221
Fornax,dSph,20.84$\pm$0.18,0.06,-13.4,20.0,0.0,149,710
Hercules,dSph,20.60$\pm$0.20,0.17,-6.6,0.037,0.0,126,330
IC~10,dIrr,24.50$\pm$0.12,4.3,-15.0,86.0,50.0,252,612
IC~1613,dIrr,24.39$\pm$0.12,0.07,-15.2,100.0,65.0,520,1496
Leo~A,dIrr,24.51$\pm$0.12,0.06,-12.1,6.0,11.0,803,499
Leo~{\sc I},dSph,22.02$\pm$0.13,0.10,-12.0,5.5,0.0,258,251
Leo~{\sc II},dSph,21.84$\pm$0.13,0.05,-9.8,0.74,0.0,236,176
Leo~{\sc IV},dSph,20.94$\pm$0.09,0.07,-5.8,0.019,0.0,155,206
Leo~T,dTrans,23.10$\pm$0.10,0.09,-8.0,0.14,0.28,422,120
LGS~3,dTrans,24.42$\pm$0.07,0.11,-10.1,0.96,0.38,269,470
M32,dE,24.53$\pm$0.21,0.17,-16.4,320.0,0.0,23,110
NGC~147,dE,24.15$\pm$0.09,0.47,-14.6,62.0,0.0,142,623
NGC~185,dE,23.95$\pm$0.09,0.50,-14.8,68.0,0.11,187,42
NGC~205,dE,24.58$\pm$0.07,0.17,-16.5,330.0,0.4,42,590
NGC~6822,dIrr,23.31$\pm$0.08,0.65,-15.2,100.0,130.0,452,354
Pegasus,dTrans,24.82$\pm$0.07,0.19,-12.2,6.61,5.9,474,562
Phoenix,dTrans,23.09$\pm$0.10,0.04,-9.9,0.77,0.12,415,454
Sag~DIG,dIrr,25.14$\pm$0.18,0.34,-11.5,3.5,8.8,1059,282
Sagittarius,dSph,17.10$\pm$0.15,0.42,-13.5,21.0,0.0,18,2587
Sculptor,dSph,19.67$\pm$0.14,0.05,-11.1,2.3,0.0,89,283
Sex~A,dIrr,25.78$\pm$0.08,0.12,-14.3,44.0,77.0,1435,1029
Sex~B,dIrr,25.77$\pm$0.03,0.09,-14.4,52.0,51.0,1430,440
Tucana,dSph,24.74$\pm$0.12,0.09,-9.5,0.56,0.0,882,284
Ursa~Minor,dSph,19.40$\pm$0.10,0.09,-8.8,0.29,0.0,78,181
WLM,dIrr,24.85$\pm$0.08,0.10,-14.2,43.0,61.0,836,2111
