Dwarf,Mv,s1Mv,s2Mv,Rh,s1Rh,s2Rh
Tucana~IV,-3.5,0.28,0.28,127,26,22
Sculptor,-10.82,0.14,0.14,279,16,16
Cetus~II,0,0.68,0.68,17,9,5
Cetus~III,-2.45,0.57,0.56,90,32,14
Triangulum~II,-1.6,0.76,0.76,16,4,4
Segue~2,-1.98,0.88,0.88,40,4,4
DESJ0225+0304,-1.1,0.5,0.3,19,9,5
Hydrus~I,-4.71,0.08,0.08,53,4,4
Fornax,-13.34,0.14,0.14,792,18,18
Horologium~I,-3.76,0.56,0.56,40,10,9
Horologium~II,-1.56,1.02,1.02,44,15,14
Reticulum~II,-3.99,0.38,0.38,51,3,3
Eridanus~II,-7.1,0.3,0.3,246,17,17
Reticulum~III,-3.3,0.29,0.29,64,26,23
Pictor~I,-3.67,0.6,0.6,32,15,15
Columba~I,-4.2,0.2,0.2,117,12,12
Carina,-9.45,0.05,0.05,311,15,15
Pictor~II,-3.2,0.4,0.5,47,20,13
Carina~II,-4.5,0.1,0.1,92,8,8
Carina~III,-2.4,0.2,0.2,30,8,8
Ursa~Major~II,-4.43,0.2,0.26,139,9,9
Leo~T,-8,0.01,0.01,118,11,11
Segue~1,-1.3,0.73,0.73,24,4,4
Leo~I,-11.78,0.28,0.28,270,17,16
Sextans,-8.94,0.06,0.06,456,15,15
Ursa~Major~I,-5.13,0.38,0.38,295,28,28
Willman~1,-2.9,0.74,0.74,33,8,8
Leo~II,-9.74,0.04,0.04,171,10,10
Leo~V,-4.29,0.36,0.36,49,16,16
Leo~IV,-4.99,0.26,0.26,114,13,13
Crater~II,-8.2,0.1,0.1,1066,86,88
Virgo~I,-0.8,0.9,0.9,38,12,11
Hydra~II,-4.86,0.37,0.37,67,13,13
Coma~Berenices,-4.28,0.25,0.25,69,5,4
Canes~Venatici~II,-5.17,0.32,0.32,71,11,11
Canes~Venatici~I,-8.73,0.06,0.06,437,18,18
"Bo{\""o}tes~II",-2.94,0.74,0.75,39,5,5
"Bo{\""o}tes~I",-6.02,0.25,0.25,191,8,8
Ursa~Minor,-9.03,0.05,0.05,405,21,21
Draco~II,-13.5,0.4,1,19,4,3
Hercules,-5.83,0.17,0.17,216,20,20
Draco,-8.88,0.05,0.05,231,17,17
Sagittarius,-13.5,0.15,0.15,2662,193,193
Sagittarius~II,-5.2,0.1,0.1,33,2,2
Indus~II,-4.3,0.19,0.19,181,70,64
Grus~II,-3.9,0.22,0.22,93,16,12
Pegasus~III,-4.1,0.5,0.5,78,31,25
Aquarius~II,-4.36,0.14,0.14,160,26,26
Tucana~II,-3.9,0.2,0.2,121,35,35
Grus~I,-3.47,0.59,0.59,28,23,23
Pisces~II,-4.23,0.38,0.38,60,10,10
Tucana~V,-1.6,0.49,0.49,16,5,5
Phoenix~II,-2.7,0.4,0.4,37,8,8
Tucana~III,-1.49,0.2,0.2,37,9,9
